board_name,nb_total,nb_profanity,author_active,nb_author_active,nb_word_total,nb_link_https,nb_link_http
r9k,166830,45771,9,3,5483319,3953,31
vt,239643,31654,5,43,3715102,42104,117
b,121963,27351,1,8,1868260,3173,40
vg,892623,142759,4,24,16406446,43872,1064
his,60176,8565,14926280,1,2146561,2163,157
int,369818,41163,6,3,6037474,14230,94
g,235799,36717,1,6,6064830,19719,436
m,60683,9172,9,6,1527030,2809,110
k,140025,24906,3,2,4247920,4941,110
bant,55786,11048,2,2,1019019,2180,18
a,256039,40692,1,3,4607079,4900,75
trash,181187,34627,1,16,3872261,13073,249
co,165148,27508,136677106,2,3834887,5069,159
diy,17244,2770,2599418,1,715036,875,34
out,16907,2858,2551558,2,604180,442,18
sci,49121,6901,1958,9,1512072,3088,63
lit,58491,9052,21937174,2,2334990,1485,90
ck,60558,11474,19192247,2,1427811,1055,10
mu,90619,14494,4,4,1497818,11352,38
fit,100866,23208,3,4,2626375,2094,38
v,446746,91163,2,6,10008573,10817,61
jp,104471,14431,2,2,1698782,8850,193
vmg,36321,4886,1151562,1,996417,1621,11
biz,102145,19242,2,10,2609527,6382,155
